enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,36,1.0
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,>4,47,0.0
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,>4,18,1.0
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,1,46,1.0
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1,108,0.0
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,3,23,0.0
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,>4,18,0.0
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,1,68,0.0
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,2,50,0.0
7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1,65,0.0
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,2,72,0.0
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,2,68,1.0
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,3,40,0.0
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,>4,141,0.0
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,1,24,0.0
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,>4,82,0.0
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,3,145,0.0
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,2,206,0.0
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,4,42,1.0
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,2,14,0.0
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,3,7,1.0
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,never,26,1.0
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,1,92,1.0
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,2,102,0.0
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,>4,26,0.0
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1,45,0.0
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,2,52,0.0
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,2,19,0.0
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,>4,26,1.0
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,1,90,0.0
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,3,25,0.0
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,>4,48,0.0
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,2,142,1.0
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,>4,47,0.0
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,1,28,0.0
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,never,18,1.0
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,1,29,0.0
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,1,46,0.0
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,2,65,0.0
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,3,14,0.0
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,1,4,0.0
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,2,108,0.0
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,1,136,0.0
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1,27,0.0
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,2,83,0.0
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,2,42,0.0
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,1,332,0.0
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,1,13,1.0
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,1,33,0.0
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,2,14,1.0
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,2,27,1.0
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1,52,0.0
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,2,3,0.0
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,2,2,1.0
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,4,46,0.0
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1,210,0.0
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1,36,0.0
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,1,160,1.0
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,2,101,0.0
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1,46,0.0
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,4,59,0.0
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,>4,74,0.0
